wave flux flux_err
4372.657300407021 0.04354102783408367 0.006991913468036258
4372.734574856467 0.04414397438930752 0.006997871975525425
4374.165026859194 0.0446669214228699 0.007047142584211334
4374.2420208947215 0.044654236366719766 0.007049047230617336
4375.672753311367 0.04987953678502759 0.007123483830385808
4375.749466932976 0.04952371545685648 0.007118226085270915
4377.1804797635405 0.04228610935506865 0.007011168960529766
4377.256912971231 0.04216814888468453 0.0070106613931056345
4378.688206215714 0.034705740009370115 0.006963268982687513
4378.764359009486 0.034582501236544015 0.006963746323660252
4380.195932667887 0.04101035248817829 0.007030674845902942
4380.271805047741 0.04101463300676685 0.007027266077643491
4381.70365912006 0.03819517305258704 0.006941455019472443
4381.779251085995 0.03906317726551808 0.0069486529506070606
4383.211385572234 0.05128378945858938 0.00703921713497116
4383.28669712425 0.051024330926205744 0.007037925452489323
4384.719112024407 0.04796315557136196 0.007017648888583642
4384.794143162505 0.04735819738851238 0.007010294374568535
4386.22683847658 0.037304282200957814 0.006928673546913876
4386.30158920076 0.038021638724523715 0.00693618622076405
4387.734564928754 0.04810474600233394 0.007069031907127795
4387.8090352390145 0.04782976224881942 0.007070233689849998
4389.242291380927 0.04662460391030381 0.007112589965534219
4389.316481277269 0.04597675094493301 0.007106991980194723
4390.7500178331 0.03261330755231081 0.0069767163526726385
4390.823927315524 0.03272292178288166 0.006980178671816554
4392.2577442852735 0.03532811406966962 0.007059804364735588
4392.331373353779 0.03605189471009967 0.007067531586525299
4393.765470737447 0.04491921686754326 0.00719724747196984
4393.838819392034 0.04474636912107942 0.007197042250980905
4395.27319718962 0.04354080718962237 0.007191337498350926
4395.346265430288 0.043382043576615174 0.007192989947337714
4396.780923641793 0.03873791123138295 0.007196616260129388
4396.853711468543 0.038425508442970505 0.007198987455179071
4398.288650093967 0.03587530354397381 0.007329756980671676
4398.361157506798 0.03603595494775254 0.0073341698970817845
4399.79637654614 0.04487244683280523 0.00743668027120544
4399.868603545053 0.04487264450500526 0.007437907168649981
4401.304102998313 0.03540159240172036 0.007370418660384561
4401.376049583308 0.03573854603501738 0.007376509251753389
4402.811829450487 0.03835090086405753 0.0074523450909900184
4402.883495621562 0.03785104454166235 0.0074495969807027475
4404.31955590266 0.04309678050563187 0.007524206706963735
4404.390941659817 0.04367575924208777 0.007529284333324983
4405.827282354833 0.04846413133765887 0.007570436856976596
4405.898387698072 0.048562871829421914 0.007571258040859854
4407.3350088070065 0.04938845926812638 0.007603793249362837
4407.405833736327 0.04918076878034835 0.007603232767073011
4408.84273525918 0.04561886434910809 0.0076145937892950315
4408.9132797745815 0.04541326483362242 0.0076158584486836255
4410.350461711353 0.03825135305433688 0.007590180142367423
4410.420725812836 0.038654026877030026 0.007594535221337691
4411.858188163526 0.040294282887447755 0.007626932394214327
4411.928171851091 0.040001861098773295 0.0076240846222835786
4413.3659146157 0.04534825815365878 0.007649229456330965
4413.435617889346 0.04529308839392284 0.007649498099824441
4414.873641067873 0.043648260464102064 0.0076433361031788246
4414.943063927601 0.04375967322906797 0.007643610489123492
4416.381367520046 0.04398192043474525 0.007617597903212125
4416.450509965855 0.04390532109105193 0.0076186638887423734
4417.88909397222 0.04075068954075966 0.007684297389344786
4417.95795600411 0.040638632310005814 0.007685448444605536
4419.396820424393 0.043336214094458037 0.007746810131774699
4419.465402042365 0.0432330071923513 0.0077472754171932215
4420.904546876566 0.03325333645073861 0.00767287684387046
4420.97284808062 0.03321687871846297 0.007673024951176895
4422.4122733287395 0.040827982707299065 0.0077140704579714905
4422.480294118875 0.04106221404834849 0.007717917392428827
4423.919999780913 0.032851425276359834 0.007725046490140847
4423.987740157129 0.03216720478106568 0.007719014639774164
4425.427726233086 0.029918345443332005 0.007681135422821022
4425.495186195384 0.030077320070290826 0.007683602761108645
4426.935452685259 0.028248939261403212 0.007727127436766701
4427.002632233639 0.027954977913516407 0.007725865877550437
4428.443179137433 0.03195542228276539 0.007716027759703266
4428.510078271894 0.03246515821634642 0.0077197176056197124
4429.950905589606 0.034100164358457835 0.007758987463970051
4430.0175243101485 0.03422415250539226 0.007760851464540498
4431.458632041779 0.03354085880078753 0.007777556135632149
4431.524970348403 0.03354543033097801 0.007778393872764488
4432.966358493953 0.0345723070031624 0.007773042939030536
4433.032416386658 0.03422733150902252 0.0077690733560612365
4434.474084946126 0.03209575082852827 0.007729068836642787
4434.539862424913 0.03211682147944963 0.007730548145089334
4435.981811398299 0.031103509117056553 0.007787408766973279
4436.047308463168 0.03137022744024108 0.007790541168175389
4437.4895378504725 0.038776097573402675 0.007883504006342119
4437.554754501422 0.039072607963049275 0.007886842150512375
4438.997264302646 0.03986864408085108 0.007898774852489169
4439.062200539677 0.03992928837655649 0.007899778021395604
4440.504990754819 0.04621698823630741 0.007949425101088443
4440.569646577932 0.04617280554488708 0.00795073984970686
4442.012717206992 0.04656906895335647 0.007980878068945419
4442.077092616187 0.046183895698942254 0.007978457745986833
4443.520443659166 0.03673797626316379 0.007942052206884258
4443.5845386544415 0.03641013455081304 0.007940801982989782
4445.028170111339 0.02645163876511387 0.007892240394229661
4445.091984692696 0.027010783580927112 0.007899095371134948
4446.535896563512 0.03491131415657243 0.008013122954507077
4446.599430730951 0.034347689788720034 0.008009802037934048
4448.043623015686 0.034229545739907774 0.008002205873034844
4448.106876769206 0.03497717599728333 0.008005981659550037
4449.551349467859 0.04372811763661291 0.008060351170915463
4449.614322807461 0.043847634576518614 0.008063472419999376
4451.059075920032 0.04251396608564312 0.008096644955014779
4451.121768845715 0.04201927317452648 0.008092075668979468
4452.5668023722055 0.03458081672987332 0.007994838623362097
4452.62921488397 0.034204506911280956 0.007991448380363184
