wave flux eflux model mask
3728.000000000029 -2.966428518295288 3.9489011709256348 1.4072402715682983 0
3728.8000000000293 -7.14334774017334 3.9932555454017926 1.4099546670913696 0
3729.6000000000295 0.13274024426937103 4.309417021811082 1.4106653928756714 0
3730.4000000000296 0.15173572301864624 4.01908596275201 1.4079926013946533 0
3731.20000000003 5.84753942489624 4.641586999123259 1.4032081365585327 0
3732.00000000003 3.1114511489868164 3.6999014490395017 1.3986892700195312 0
3732.80000000003 -2.6822781562805176 3.767150761417232 1.3968555927276611 0
3733.6000000000304 -2.3686814308166504 3.671247358423055 1.3996385335922241 0
3734.4000000000306 2.733875274658203 3.8378869329416694 1.4085479974746704 0
3735.2000000000307 -6.5943193435668945 3.8805983011257683 1.4256649017333984 0
3736.000000000031 -4.151022434234619 3.6909591225405274 1.4536309242248535 0
3736.800000000031 0.7356445789337158 3.5610239682278895 1.4936738014221191 0
3737.6000000000313 8.201278686523438 3.6592186026464097 1.5442572832107544 0
3738.4000000000315 8.062138557434082 3.6549840558643303 1.600345253944397 0
3739.2000000000317 1.6480907201766968 3.879080742114108 1.659060001373291 0
3740.000000000032 -1.3299802541732788 4.005075203158735 1.7170436382293701 0
3740.800000000032 1.5856812000274658 3.9713853018907503 1.7710856199264526 0
3741.600000000032 5.87759256362915 4.149974768482453 1.823099970817566 0
3742.4000000000324 -0.4117963910102844 4.148235491833924 1.8737537860870361 0
3743.2000000000326 0.6669721603393555 4.647928300038609 1.9210654497146606 0
3744.0000000000327 5.884169578552246 3.891831824509234 1.9636949300765991 0
3744.800000000033 3.8225884437561035 3.704672430330718 1.9984205961227417 0
3745.600000000033 11.89322280883789 3.805076253182915 2.022087574005127 0
3746.4000000000333 6.507187843322754 3.7825733999315068 2.034585952758789 0
3747.2000000000335 -3.555925130844116 3.8051515764543993 2.0381622314453125 0
3748.0000000000337 4.448237895965576 3.505726991836793 2.0367319583892822 0
3748.800000000034 6.828164577484131 3.330583683579453 2.0333340167999268 0
3749.600000000034 1.4078346490859985 3.6365344786283353 2.028529167175293 0
3750.400000000034 6.1531782150268555 3.9306050457667983 2.019232749938965 0
3751.2000000000344 1.7841087579727173 3.618961504100012 2.0015435218811035 0
3752.0000000000346 7.261475563049316 3.711420093101862 1.9735033512115479 0
3752.8000000000347 1.6308778524398804 3.8242309960998915 1.9358645677566528 0
3753.600000000035 5.959515571594238 4.082267387779682 1.8921867609024048 0
3754.400000000035 -1.884778618812561 4.080759026150551 1.846342921257019 0
3755.2000000000353 5.191863059997559 4.035932233714278 1.8003334999084473 0
3756.0000000000355 6.083033561706543 4.540614314628324 1.7551130056381226 0
3756.8000000000357 -7.551926612854004 4.22835375257176 1.7130581140518188 0
3757.600000000036 0.32766589522361755 4.644519153761645 1.6775461435317993 0
3758.400000000036 3.765669107437134 3.907684314501085 1.651344656944275 0
3759.200000000036 7.859424114227295 3.719632420715279 1.6365225315093994 0
3760.0000000000364 4.505603790283203 3.8798187387168563 1.6332515478134155 0
3760.8000000000366 0.07816962897777557 3.8512498620443347 1.640946865081787 0
3761.6000000000367 1.3149694204330444 4.330658630585862 1.657899022102356 0
3762.400000000037 -0.6946459412574768 3.885387383882974 1.6801226139068604 0
3763.200000000037 5.531498908996582 4.0088226968365435 1.7042553424835205 0
3764.0000000000373 -4.0246758460998535 3.798846507442949 1.726995825767517 0
3764.8000000000375 -0.04218344762921333 3.956675645141102 1.7453792095184326 0
3765.6000000000377 6.646344184875488 3.8016835506316613 1.759096622467041 0
3766.400000000038 -6.762953281402588 4.037541587424231 1.7685385942459106 0
3767.200000000038 3.9849722385406494 3.444259278645284 1.7724522352218628 0
3768.000000000038 5.951749801635742 3.4951046295810344 1.7697349786758423 0
3768.8000000000384 1.3640148639678955 3.9174089742429965 1.7605191469192505 0
3769.6000000000386 -1.6749564409255981 3.846212858009383 1.7444912195205688 0
3770.4000000000387 -5.510554790496826 4.525735465549752 1.7224594354629517 0
3771.200000000039 9.86993408203125 4.1209450157532705 1.7008464336395264 0
3772.000000000039 1.0987632274627686 3.8142122243427927 1.6815022230148315 0
3772.8000000000393 1.010407567024231 3.535327345209655 1.6666884422302246 0
3773.6000000000395 -1.8868956565856934 4.064503125710962 1.6589516401290894 0
